name,rating,wouldTakeAgain,levelOfDifficulty,topTags,similarProfs,reviews,numReviews
Fengqi You,4.9,91%,3.4,Gives good feedback; Inspirational; Respected; Group projects; Amazing lectures; Lecture heavy; Caring; Accessible outside class,"[['5.00', 'Alice Mercier', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2496619'], ['5.00', 'Amy Williams', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2435205'], ['5.00', 'Anil Damle', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2473568']]","Nice professor much more accessible than many ORIE professors. He runs office hours on weekends and gave deadline extensions if you request. Although this is a chemistry course, it has nothing to do with chemistry at all! I do not know chemistry and I am happy with the materials. A much better course than the ORIE one! Will take his course again.; its much easier to get the optimization one in the tall after the spring ML course. You and his TAs are very considerate. if you need help with problems or project, just ask them for help. You never said no to deadline extension and always replied very fast. He is a true gem in cornell systems engineering!; I took the spring machine learning course before the optimization in the fall. it was a difficult start for me b/c of the prerequisite, but You is very encouraging and helpful. Akshay, the TA, is awesome! I dont encourage you to follow my reverse sequence, but if you have to do not worry - You would help and he is quite chill. Happy with my A+; If you a cs + math elective, sysen 6800 might be a part of your electives. Avg grade is A /A+. Of any of the courses offered by Prof Fengqi You. Easy A; I like the way Pro You does not take attendance and offer much flexibility in assignment deadline extensions due to the difficult semester at Cornell University this fall. The course materials are not that easy, but the professor and TA worked hard to make everything accessible to us. It's an enjoyable learning experience overall. Highly Recommend!; This is my first Cornell System Engineering course as a DL student located in Europe. The tools and skills I learned are very useful. I am actually utilizing those skills immediately in my job on reducing costs in our company. The professor is very accessible and TAs are great. Good course to take!; I also took 5888 in the summer. Great lectures, helpful professor and TA, interesting material, and fair assignments/workload. I would definitely recommend the class to a friend. I'm very happy with the experience!; Examples of application were extensive and applicable to all industries. Lectures were very through and interesting. Content was deep theoretically but had examples to show applications. Supporting, operational lectures were provided to help those students who had not taken prerequisite classes in a while which was appreciated!; Best professor at Cornell Systems Engineering Graduate Program! Wanna become a data scientist and get a high GPA, take this course with Professor You!; I really enjoyed the two courses in optimization and data science. Look forward the summer course on deep learning soon!; You is A TRUE GEM in Cornell Systems Engineering faculty! Great course materials on data science and machine learning! Student-centered pedagogy!; Any one could take this machine learning course and suceed! I am a live example! No python experience and little knowledge on stat and optimization, but professor and TAs are quite helpful - many tutorials and office hours and giving me much courage to continue on this course and finally got an A. I am grateful to Professor You. HE IS THE BEST!; Excellent course; excellent professor; excellent topic! No textbook, but the lecture notes are well organized and nicely illustrated - much better than a textbook.; Fenqi is very helpful outside the class. TAs are great. I am happy with getting an A in this class. It would be better if I took the fall course before this one, but the overall outcome is good. I'll take the other course in the coming fall for sure!; A great course for non-CS majors. Much less intensive than the CS machine learning course that I am taking concurrently. Lectures focus on applications and practical implementation. No heavy math or theory as in the CS one. Undergraduates should take this course without any problem.; There are five homework assignments, but the lowest score would be dropped. The course project is team-based. Workload is manageable. Materials and lectures are interesting and cover many details. A great choice; Great course for System engineering students. I learned a lot. Grading bases on homework and project. Very fair and reasonable workload. Lectures have a lot of stuff to digest, but they are for good reasons. The field of machine learning is quite exciting and I'll learn more in the summer course with professor again!; Got my first A+ at Cornell. feel pretty good. A five star course without saying!; Great professor, fair grading, and much flexibility in deadlines. We need more professors like ""You""",19
David Erickson,2.4,N/A,3.7,,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","someone actually started crying during his second prelim. that's how bad that was.; god awful. exams are incredibly long and hard and questions make little to no sense. nuclear power plant on an airplane for instance? deliberately unhelpful.; One of the worst teachers ever. More content with his research and his ego than teaching the class. Avoid if possible.; Great Guy. Great Teacher.; He may seem a bit cranky during lectures or when talking to him, but he's really a nice, helpful guy who really cares about his students' learning. Erickson follows the textbook a lot, but he puts his own twist on it and clearly shows himself to understand the stuff.; Lectures are useless. You basically need to teach yourself, which is not fun because the book is not an easy read by any means.; I liked this class.  Having a good TA is critical just because the problem sets can be tricky. Professor Erickson is easy to get ahold of if help is needed and is usually willing to explain concepts. Be on time for class or he'll give you a look, but considering that he gets to Upson at 5:30 am ""you should be able to get here at 9"".; He is a psychotic morning person that gets irritated when one shows up a few seconds late. All his lectures are straight from the book. He does not explain- just writes down wordy sentences with bad grammar. He expects you to dedicate your life away to the course. Forget having a personal life.",8
Joseph Halpern,4.1,100%,3.6,Hilarious; Gives good feedback; Lots of homework; Inspirational; LOTS OF HOMEWORK; Respected; Amazing lectures,"[['5.00', 'Amy Williams', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2435205'], ['5.00', 'Anil Damle', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2473568'], ['4.70', 'Jon Kleinberg', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=136263']]","Professor Halpern is the nicest! It was a really great experience taking an honors class with him, he's a great lecturer and makes the material super accessible even if you don't have prior experience with it.; Professor Halpern is a great lecturer. I also really felt like he cared about his students and always wanted to make sure that we were doing well. The class was super interesting and I could tell he cared about teaching and the topics.; THE BEST! Congratulations to Dr. Halpern on being elected to the National Academy of Engineering!; Halpern is a fantastic lecturer. He really cares about making sure the students understand the material.; Awesome guy awesome teacher; Great prof very intelligent caring and he is super fine looking; Cool guy... WHAT A HOTTIE!; Incredibly intelligent, cares deeply about his subject and teaching.  Requires some mathematical sophistication, but that never hurt anyone.  The class is a great survey of some interesting theoretical subjects and their applications to modern computer science.; Hard material, but a GREAT professor. One of the smartest guys at Cornell, which is saying a lot. Lectures can be a little slow, but he will answer any questions, and really knows his stuff.; Avoid at ALL COST.; I really enjoyed these lectures. He is really interesting to listen to and is really accessible to answer questions. I only wish he wouldn't dim the lights so much during the lectures...its hard to stay awake in the dark regardless of how interested you are.; i thought he was awesome for the first week. then things get real boring, sleepin through class was real easy.  puts too much weight on homework so i got a b+ eventhough i ripped the final.; halpern is a very good 280 professor.  most of his lectures are interesting and well done, he's very enthusiastic about the material and it shows.  i thought that i'd hate this class but it ended up being one of my favorites.; arrogant, not helpful, FULL OF HIMSELF. Avoid!; engineering students here are required to take technical writing so they dont end up like this guy; Fantastic at teaching. Great explanation of the material. Very smart man!; Prof. Halpern is a great teacher and a nice man.; BRILLIANT.  Being taught by someone as distinguished as him was an honor.  He was humble, unlike the previous reviewer seems to believe.  He likes teaching and does it well.; the professor's kinda arrogant",19
Michel Louge,2.6,50%,3.8,Tough grader; Lots of homework; LOTS OF HOMEWORK; Group projects; Tough Grader; Get ready to read; Caring,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","He's lecture is horrible. He taught us nothing but basic concept and jokes. Sounds fun, huh? No examples presented and he didn't try to change his teaching style even though he received our complaints, so we have no idea about how to solve course related problems and always get stuck if we don't refer to textbooks. Worst course I've ever taken.; Michel is easily the worst professor I have had so far at Cornell. An egocentric person with a God complex, he did not show up for class the whole semester, grading was an atrocity to education, sloppy TAs with virtually no design experience allocated grades on a random basis.; The lecturers were interesting, though only some helped with the projects. Most of the grade was for notebooks which were very difficult, vague, and often arbitrary.  Machining took more time than expected though was rarely difficult. This class is the least academic of the MAE courses I?ve taken, and also by far the hardest and most time consuming; DON'T BE FOOLED! When you meet him you will think he is the nicest guy in the world. But he is not really interested in his students success, but only in doing his job. His grading dist is wack! Show up for class even though you won't learn anything. He can't teach and has no concept of what his students are doing.; He has good intentions if the class was full of PHD Students, just a horrible teacher who makes learning hurt like hell. He confuses the hell out of you & then complains if you don't go to his office hours which become a verbal lashing of how poor a student you are if you don't understand something or he's wastes your time if he doesnt. Avoid Him; No Comments; Louge is one of the best professors in the mechanical engineering department. A really smart guy who loves to get s tudents engaged and intnerested in the topic.; awesome wacky frenchman, and super-nice. Prof. Louge is great!",8
Yudong Chen,3.5,100%,2.5,Lecture heavy; Graded by few things; Test heavy; Caring; Accessible outside class,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","He's not the best lecturer, but he's a nice guy. I usually zone out during lecture because the material isn't very engaging, but it's easy enough that you can learn it by yourself. He's really nice with homework etc, I think we had 9 assignments for the whole semester, and they were all pretty easy. He makes sure you don't have hw over breaks!",1
Zygmunt Haas,3.4,100%,3.4,Inspirational; Tests? Not many; Respected; ACCESSIBLE OUTSIDE CLASS; Caring; Accessible outside class,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","Excellent teacher. Highly recommended.; Very good teacher. Enjoys teaching.; Bad at giving grades, will never tell you how he grades and how much you scored in the final exams. Not at all transparent. Silly exams and doesn't ask questions according to what he has taught in class.; Wireless networks. Turned out to be a useless course. Did not understand a word he says in the class. He himself gets confused while teaching. Do not waste your money by taking any course under him. I strictly advise you to do not go for his course. You will regret it.; Worst class taken.; He makes a lot of mistakes and writes sloppily. Can hardly understand the words he says. HWs take long time and exam is tough unless you're from China. Would not recommend this class as an elective. No help during OH and he doesn't seem to know the material well.; Took both 310 and 566 with him.  I'm a junior in ECE right now and would say he's the best professor I've had in ECE.  Always makes sure to stop if students seem confused, and always reviews the last lecture's material at the beginning of class.  Will have some tough homeworks and tests but he is a fair grader and is always very helpful.; He might be a little disorganized during lectures, but he will always slow down to make sure everyone understands everything. Prof Haas is good at giving ""hand-waving"" arguments which provided the intuition, unlike some other prof who just dump the math on you.; nice prof. tries his best to have students learn the material, however the classes is not dumbed down.; The funniest class I took. Not because he's funny, but because he managed to cover up for all the mistakes he did during class by affecting a 'i knew that' attitude. His tests were so simple (at least, the first two were...). TA's are extremely helpful to go to. Homeworks were annoying hard at times. Class is overall easy.",10
Michael Kelley,2,N/A,3,,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","No Comments; Worst teacher ever; This guy is a ****ing idiot! He doesn't know what he's talking about and his tests are full of mistakes.  He ****ed up everybody's grades in the end and was on vacation a lot during prelims and finals.  I ****ing hate him!!; He doesn't know what he's doing.  The week after the second prelim he tried to do his own prelim problem on the board to show us how to do it.  It took him three lectures to get it right.  We had already taken the exam.  He's condescending and makes errors continuously.; Kelley, you screwed my foundation for CIRCUITS!!! I can't believe he recycles questions in the final from prelim, just to lift the grades for everyone to cover up for his inability to teach.; he is stupid; Horrible professor. He doesn't understand his own examples. He makes mistakes on all the prelims and didn't print off enough copies of the final. The homework was almost always completely unrelated to the prelim questions. Avoid him, take 210 in the fall.; Unprepared for lecture.  Every lecture, EVERY lecture, makes numerous algebraic mistakes and students in lecture correct him.  Ability to teach verging on ridiculous.  Require class, but if possible, AVOID AT ALL COSTS.; Can't do basic math for the life of him and screws up all the time on the blackboard, but if you can follow along with what he's trying to do, he rocks. Very funny guy, and helpful.",9
Douglas Long,2.9,N/A,2.6,,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","Knows the material well, but reuses slides and lectures can be a bore. The course is not run very well - homeworks/labs are never returned in anything close to a timely matter and the grading procedure is a mess. This class isn't terrible but is often extremely frustrating.; This course was a fantastic introduction to logic design. The professor explained the basics clearly, and labs were VERY illustrative and interesting. Some of them were more open-ended, but they were challenging and I learned a lot.; Long is a joke.  Doesn't know his own slides, gets confused by his own slides, contradicts the textbook on the day of a prelim and then later admits he's wrong, posts homework late, changes homeworks a few days before they're due, has stupid procedures for homeworks, can't answer homework questions correctly in class.  Is extremely boring.  Awful.; doesn't know his slides. gets confused in the middle of lecture.  doesn't necessarily know the topics at hand very well, though he may have at one point. makes stupid analogies. answers questions in the most round-about way.  the homework he assigns can get tedious.",4
Rajit Manohar,4.4,N/A,4.1,Respected,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","Made class super interested. Always stopped to make sure people were following and understanding concepts. Labs were really enjoyable. Exams were fair and he gave like 3 hours to do them (exams only had like 4-5 problems each); Great professor.; it's very simple really.  async is cool.; A very hard teacher--types like I've never seen--but brilliant and very easy to talk to when help is needed; Hard as hell, but a good professor.; No Comments; No Comments",7
Michael Spencer,2.3,100%,4.3,Tough grader; Tough Grader; Gives good feedback; Caring,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","He hates his job, it is not the students fault; This man is a disgrace tot he Cornell campus. Michael Spencer was the worst professor I had during my 5 years of undergrad and graduate education. His grasp of the material in his compound semiconductors class is poor, rendering him incapable of writing a comprehensible test. His LAZINESS is truly epic.  His class is an utter waste of time.; Terrible lectures, unorganized notes, forgets to assign/return homework, shows up to tests late, told us there was no time limit and then wrote ""30 MIN LEFT"" on the board an hour into the prelim, worthless labs requiring individual reports separate from your partner, answers questions with ""I don't know,"" doesn't respond to emails, etc.  Awful.; This is a hard course both to take and to teach, but this was just awful.  He tries, but it just doesn't work.  Be prepared for a very disorganized course.; .; Horrible. Worst professor I have ever had. Avoid at all costs. Very unprepared. Very unclear. Doesn't know what he is doing. He wrote the worst midterm of all time. It was full or spelling errors and typos. He probably hadn't even solved the problems himself. In a class like 315 where the book is notoriously poor, you need better than Prof Spencer!; This guy definately acts like he doesn't want to be teaching the course, he is very unorganized, homework was not returned until after the drop date.; No Comments",8
Tsuhan Chen,4,N/A,1,Lecture heavy,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]",,0
Dieter Ast,1.6,N/A,4.1,,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","worst professor ever...to be avoided...he spends so much time on ppt slides and we end up learning trivial stuff...exams are impossible...i have no clue what he says when he talks...weirdo who spends his life in his office; Worst professor EVER!; Very bogus professor..... he's so weird. He is definetly one of the most f-ed up professors at Cornell. He doesn't sleep.; A crazy, creepy man. Girls: aviod him at all costs.; tough class, but maybe it is hard teaching all that material condensed into one semester.; nobody's req'd to take this class, so DON'T! I don't have the time to get into how bad of a class this is, but just as a couple examples: we had 13 psets and FIVE of them were returned to us, tests were missing info we needed and one tested a problem that was on a homework NOT YET DUE. u won't do bad (curved to an A-), but not worth the frustration; No Comments; No Comments; No Comments; No Comments; He is definitly an ass; Course goes very very fast and covers just about every field of engineering, ECE, MSE, MechE, ChemE/chemistry, AEP/physics.  Don't take it if you're stupid.  Like me.; Professor Ast was a great professor! Once you got his oddball humor, very funny guy. Knew a lot, taught a lot, and everybody seemed to learn a lot.; The course was kind of fun for me, although most people disagree.  Ast can be unfriendly because he likes to point out other people's mistakes (I think).  He likes to say mmmkay a lot, and pauses a lot in lecture, giving us a short napping time, but he is funny in a weird way also.; Brilliant but can't teach at all.  Says mmmmmmmmmmmmmkay about 60 times/lecture.  Sounds like Mr. Mackey from South Park,  but with a harsh German accent; Ast appears to be a brilliant man, but he sure as heck can't teach.  Lectures generally lacked a good 'flow' and homeworks were usually reduced to simple dimensional analysis or using formulas that you didn't understand.  Also, he's not very nice.; A very smart Professor, dedicated, but the course is very difficult. He assumes lots of knowledge from students' part. Tough in grading. Killer multiple choice exams... ""Exams without a calculator"" is what he called the 2nd prelims. Final all ca; Great professor. Went over some pretty tough material in this class which in the hands of a lesser professor would have made this class completely impossible. As it was, I found it as fun as something like this gets. Didnt help GPA, but will help in life; Horrible.",19
Carl Batt,2.6,67%,2.7,Hilarious; Inspirational; Amazing lectures,"[['5.00', 'Daniel Buckley', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2236714'], ['5.00', 'Kristina Blake-Hodek', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2315766'], ['4.80', 'Anurag Agrawal', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1192249']]","Great professor; Best sense of humor of any professor I've had. He has a quick wit and creates a very casual atmosphere making sure to involve everyone in the class. He's passionate about what he teaches. Plenty of in-class activities to help digest the material.; Showed up for first lecture, then let TAs teach the rest of the semester.; No Comments; class can be funny, but he sometimes just doesnt show up. probably the laziest prof ever. he doesnt stop testing people during class.  dont expect to learn anything.  he has his TA do everything",5
K Bingham Cady,2.3,N/A,2.8,,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","Awful professor.  I hear he is better with ECE classes, but he is not well suited for teaching larger lectures.  He mumbles, and seemed like he was in his own little world...he would frequently mess up even the most basic problems, even though he had the answers right in front of him.  avoid him if you can.; Mumbles, doesn't seem familiar with topic.  Makes ""chalk errors"" that students have to correct, even when copying from prepared notes.  Very slow and monotonous lectures.  Not many alternatives here, but this is not a lecturer you'd want to learn from.  Apparently big difference from the ECE class, perhaps due to huge class sizes.; HE TALKS TO HIMSELF. HE WRITES HORRIBLY, YOU SPEND YOUR ENTIRE LECTURE TIME TRYING TO FIGURE OUT WHAT HE IS SAYING AND WHAT HE IS WRITING ON THAT BOARD IN FRONT OF YOU. I THINK IVE SAID ENOUGH...... IF YOU HAVE THIS PERSON AS YOUR PROF, PLEASE, DO ME A FAVOR AND GET ANOTHER ONE FOR THE SAME COURSE OR IF NO ONE ELSE IS AVAILABLE JUST SKIP THE CLASS!; Great class, homeworks and tests are reasonable.  One of the ""easiest"" professors in the Cornell ECE dept. but that is only because Cornell ECE courses are ridiculously challenging in general (this is coming from an alum who is now in the Duke  University PhD program).  Cornell ECE is pretty evil --- survive it and you'll be good to go.; Excellent professor, good class; A very nice guy. His lectures are useless.  His exams are weird.  Very difficult to get A plus...will get A.  Take in other sem if possible; his exam is the most unclear one i've ever seen. units are all mixed up, no or minimal diagrams provided, and the question is absolutely poorly worded. doesn't follow textbook, and invents his own symbols that has nothing to do with the textbook. then he threw this temper fit during one prelim and refused to answer any questions.; He's a nice guy... but his exams DON'T MAKE SENSE...; Nice guy and all but he rambles on and drifts off during lecture. You might as well just read the book  on your own and hope you get a T.A. Thats accomadating and helpful. If you go to lecture anyway, bring a sandwich or the paper, you'll need something to pass the time.; Annoying.; Lectures are just verbatim from the book.  He also seems to get confused sometimes and will talk to himself.; He tries very hard to explain the information to the best of his ability, but sometimes gets confused early in the morning... but quite helpful if you ask questions right after the lecture.; I came out of lecture knowing less than when I went in.  Thus, I stopped going to lecture, and my grades immediately improved.; Not bad.  Sometimes not the best lecturer, but going to section will usually clear up most problems.",14
Vaclav Kostroun,2.3,N/A,3.5,,"[['5.00', 'Christopher Batten', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=1908365'], ['5.00', 'David Williamson', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=743632'], ['5.00', 'Francesco Monticone', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2312627']]","Took this class as a junior, so I had a diff. experience than the freshmen.  The class involves advanced concepts that must be taught at a simple level, so it's difficult.  Prof. Kostroun really likes to take off points on tests--scores below 50 were common.Overall good teacher, though can be harsh with grading.  Class was a shock for freshmen.; Worst professor I've had at Cornell. Makes me appreciate the mediocre ones I had. Will absolutely turn off your interest in the subject. Unfair grader. Takes of 10, 20, 30 marks for careless mistakes even when the procedure is correct. AVOID HIM!; Oh dear.  This whole course was a mess from the word 'go.'  If it were not required for the major, no one would take it.; No Comments; Course was a little disjointed (2nd semester in existence). Harsh grader.",5
Andrew Myers,4.3,100%,4.2,Would take again; Lots of homework; Inspirational; Group projects; Respected; Amazing lectures; Get ready to read; Accessible outside class,"[['5.00', 'Amy Williams', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2435205'], ['5.00', 'Anil Damle', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2473568'], ['4.70', 'Jon Kleinberg', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=136263']]","Myers is the best prof I've ever seen. His lecture is always inspiring, and he genuinely cares for his students. TAs, classmates, and just the spirit of the class is amazing. It is a VERY heavy workload class (like a solid 10 hours per week just on coding projects on average), but it will be fun if you love programming.; Probably the best professor and class ive taken at Cornell. Also the hardest class Ive taken, but the amount you learn is well worth it. The compiler project is no joke and extremely fuffiling.; Prof. Myers' courses are extremely difficult, but his lectures are excellent and you will never learn more in such a short time as in his class. He is also friendly in Office hours, if you have any questions about the course. Take his class if you want to be challenged like never before.; He put in a special effort in remembering everyone's name, and that's really something. Extremely organized lectures. Exams were fair. Projects were hard (120 hours of coding for the whole semester). Lots of fun.; Professor Myers is knowledgeable and his lectures are amazing. He might get a bad rep because his classes are hard, but hes extremely helpful and is always willing to answer your questions either after class or during office hours. And if you cant make it to his office hours, he has a website where you can book an appointment with him.; Really hard but one of the best teachers I've ever had.; I love the guy so much. He's a genius.  Don't mix up the courses with the teacher. Let's separate the two:  Professor Myers is: Well spoken, focuses on big picture, focuses on good programming, understands everything. Nice.  The classes he teaches are: honors/heavy duty CS courses at Cornell University. HW is 10+ a week. Lube is advised.; 2112 is plenty of work, but well worth it if you love CS.; Good teacher. Explains well and helpful if you ask for clarification. Assignments are long but the grading is quite generous.; Lectures were always very clear and interesting and were a good learning experience. Taking the honors course resulted in a hefty load with seemingly unreasonable projects and deadlines. In the end was worth it. Prof. Myers was always very helpful when we had questions as was the rest of the course staff. Take this course if you want a challenge!!; This class is simply way too hard.  Problem sets in this class are longer and more tedious than comparable 300 level computer science classes, and the TA's grade them in the most anal retentive unforgiving manner possible.  Myers is a pretty good lecturer, but don't let him organize the assignments.; Nice guy, tries to explain things. Projects are WAY too long!!!!!!; Don't take his course if you want an easy ride! His classes are tougher than almost anything else you'll spot in college. And yet, if you need help, he's always there to help. Plus, if you survive the course load, I got more out of his courses than any other class.; If you like to stay up nights and programming for over 30 hours at a time, have fun with this class.  personally i think he's on the crazy side of cs.; Above average teacher but not amazing.  He hates C with a passion so do not get into an argument about programming languages with him.; Likes to focus more on the logistics (comments, specifications, etc) of programming rather than the actual code itself.  Has very long complicated projects.  Class concepts are obtuse and difficult to understand.",16
Ashutosh Saxena,2.1,N/A,4.2,,"[['5.00', 'Amy Williams', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2435205'], ['5.00', 'Anil Damle', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=2473568'], ['4.70', 'Jon Kleinberg', 'https://www.ratemyprofessors.com//ShowRatings.jsp?tid=136263']]","Most horrible teacher I've ever had. If you like a course, reconsider taking it if he's teaching.  He maybe nice to you, but when push comes to shove, he's a terrible human being from the soul.; The professor is really unhelpful and the assignments are way off the topics that are discussed during the class. Really unorganized class material.; The professors has difficulty in communicating the theory and also the home work is much more unorganized; I found the classes were not structured properly. The professor does not teaches the basics and in case you have a query , he is not able to explain the queries in a proper mathematical manner; take this class only if you have taken other ai classes before. instructor assumes you know the basics. i had hard time catching up.; Does not have the best teaching skills. But wonderful for research discussion related to class project. He comes up really quickly with examples to explain the hardest concept. Strongly recommended if interested in robotics. Best roboticist the Cornell has to offer.; I was so interested in this course prior to attending Cornell.Sad that I would not be taking this course again. The classes were vague and the professor has problems in communicating.; Classes were confusing and material used was not very relevant. Bad experience. Not going to take again; I had taken many courses in the AI vector at Cornell. This class used many algorithms and discussed applications to robotics. I really liked the way homeworks were designed that helped understand the material and how to apply it.; I really loved machine learning, and this class's applications on robots connected my theoretical understanding to reality. The lectures on Kalman Filters and Reinforcement Learning were fun, although it helped to prepare a bit in advance before the lecture.; Very helpful in class projects. Had fun!; The rant I just wrote for my course eval was double the size allowed here. Suffice to say Saxena is horrible. I had him for CS 6758 last semester and should have known better. Say away. 0/10 stars. Would not take again.; Easily, the worst professor I have ever had. He never gave a single helpful lecture or comment. He also doesn't listen to students...it's like talking to a wall.; He seems to be a good researcher, but he just cannot teach. He cracks pathetic jokes. Has problems while communicating, rather than sticking to slides, he wastes times around the blackboard. I agree with earlier reviews, probably not the best one Cornell has to offer, sadly not even average.; Jesus tap dancing Christ! I can't agree more with the previous comment. This guy is the worst professor I have had so far by a long shot. Lectures are useless, he does not know how to explain the material. He uses another prof.s notes, no textbook. HW is a huge time drain. Not helpful at all.; Worst professor at Cornell. No exceptions. Cannot lecture, test, produce homeworks, grade or use proper mathematical language well. The course is a timesink and waste.",16
